disease,name,dosage,instructions,frequency,side_effects
Dimorphic Hemorrhoids,Docusate Sodium,100mg,Take with a full glass of water,1-3 times daily,"Throat irritation, mild stomach cramps"
Dimorphic Hemorrhoids,Psyllium fiber supplement,1 tablespoon in water,Mix thoroughly and drink immediately,1-3 times daily,"Bloating, gas, mild abdominal discomfort"
Arthritis,Ibuprofen,400-800mg,Take with food to minimize stomach upset,Every 6-8 hours as needed,"Stomach pain, heartburn, nausea, dizziness"
Arthritis,Naproxen,250-500mg,Take with food or milk,Twice daily,"Stomach pain, heartburn, nausea, drowsiness"
Arthritis,Celecoxib,100-200mg,May be taken with or without food,Once or twice daily,"Stomach pain, indigestion, joint swelling"
Acne,Benzoyl Peroxide 2.5-5%,Apply small amount to affected areas,Wash hands after application,1-2 times daily,"Dryness, redness, peeling, stinging"
Acne,Tretinoin Cream 0.025%,Pea-sized amount to affected areas,Apply at night to clean dry skin,Once daily at bedtime,"Redness, dryness, peeling, increased sun sensitivity"
Acne,Clindamycin Gel 1%,Apply thin layer to affected areas,Clean and dry skin before application,Twice daily,"Dryness, redness, burning sensation"
urinary tract infection,Nitrofurantoin,100mg,Take with food or milk,Every 12 hours for 5-7 days,"Nausea, loss of appetite, diarrhea"
urinary tract infection,Trimethoprim-Sulfamethoxazole,160/800mg (double strength),Drink plenty of water during treatment,Every 12 hours for 3 days,"Nausea, vomiting, rash, itching"
urinary tract infection,Ciprofloxacin,250-500mg,Take with or without food but not with dairy products,Every 12 hours for 3-7 days,"Nausea, diarrhea, headache, dizziness"
allergy,Cetirizine,10mg,May be taken with or without food,Once daily,"Drowsiness, dry mouth, fatigue"
allergy,Loratadine,10mg,Take with or without food,Once daily,"Headache, dry mouth, fatigue"
allergy,Diphenhydramine,25-50mg,May cause drowsiness; avoid alcohol,Every 4-6 hours as needed,"Drowsiness, dizziness, dry mouth, constipation"
gastroesophageal reflux disease,Omeprazole,20mg,Take before meals,Once daily in the morning,"Headache, abdominal pain, nausea, diarrhea"
gastroesophageal reflux disease,Ranitidine,150mg,Take with or without food,Twice daily,"Headache, constipation, diarrhea"
gastroesophageal reflux disease,Famotidine,20mg,Take with or without food,Twice daily,"Headache, constipation, diarrhea"
drug reaction,Diphenhydramine,25-50mg,May cause drowsiness; avoid driving,Every 4-6 hours as needed,"Drowsiness, dizziness, dry mouth"
drug reaction,Prednisone,Initial dose varies by severity,Take with food to reduce stomach upset,As directed by healthcare provider,"Increased appetite, weight gain, mood changes"
drug reaction,Hydrocortisone cream 1%,Apply thin layer to affected area,Avoid eyes and broken skin,2-4 times daily,"Thinning of skin, burning sensation"
peptic ulcer disease,Omeprazole,20mg,Take 30-60 minutes before morning meal,Once daily for 4-8 weeks,"Headache, abdominal pain, diarrhea"
peptic ulcer disease,Bismuth subsalicylate,525mg,Take with or without food,4 times daily for 2 weeks,"Black stools, dark tongue, tinnitus"
peptic ulcer disease,Sucralfate,1g,Take on empty stomach,4 times daily,"Constipation, dry mouth, nausea"
diabetes,Metformin,500-1000mg,Take with meals,Twice daily,"Nausea, diarrhea, abdominal discomfort"
diabetes,Glyburide,2.5-5mg,Take with first meal of the day,Once or twice daily,"Hypoglycemia, weight gain, nausea"
diabetes,Insulin (various types),Individualized dosing,Rotate injection sites,As prescribed by healthcare provider,"Hypoglycemia, weight gain, injection site reactions"
Bronchial Asthma,Salbutamol (Albuterol) inhaler,1-2 puffs,Shake well before use,Every 4-6 hours as needed,"Tremor, nervousness, headache, rapid heartbeat"
Bronchial Asthma,Fluticasone inhaler,88-440mcg (varies),Rinse mouth after use to prevent thrush,Twice daily,"Hoarseness, throat irritation, oral thrush"
Bronchial Asthma,Montelukast,10mg (adults),Take in the evening,Once daily,"Headache, stomach pain, flu-like symptoms"
Hypertension,Amlodipine,5-10mg,May be taken with or without food,Once daily,"Ankle swelling, headache, flushing"
Hypertension,Lisinopril,10-40mg,Take at the same time each day,Once daily,"Dry cough, dizziness, headache"
Hypertension,Hydrochlorothiazide,12.5-25mg,Take in the morning to avoid nighttime urination,Once daily,"Increased urination, dizziness, electrolyte imbalances"
Migraine,Sumatriptan,50-100mg,Take at first sign of migraine,As needed (max 200mg daily),"Tingling, warm sensation, dizziness, fatigue"
Migraine,Propranolol,40-160mg,Take with food or right after eating,Twice daily,"Fatigue, dizziness, sleep disturbances"
Migraine,Topiramate,25-100mg,Take with plenty of water,Twice daily,"Tingling, taste changes, weight loss, drowsiness"
Cervical spondylosis,Naproxen,250-500mg,Take with food or milk,Twice daily,"Stomach upset, heartburn, dizziness"
Cervical spondylosis,Cyclobenzaprine,5-10mg,May cause drowsiness; avoid alcohol,Three times daily,"Drowsiness, dry mouth, dizziness"
Cervical spondylosis,Gabapentin,300-600mg,May be taken with or without food,Three times daily,"Dizziness, drowsiness, fatigue"
Psoriasis,Calcipotriene cream 0.005%,Apply thin layer to affected areas,Wash hands after application,Twice daily,"Skin irritation, burning, itching"
Psoriasis,Methotrexate,7.5-25mg,Take as a single dose once weekly,Once weekly,"Nausea, mouth sores, fatigue, liver problems"
Psoriasis,Clobetasol cream 0.05%,Apply small amount to affected areas,Do not use on face or for more than 2 weeks consecutively,Twice daily,"Skin thinning, stretch marks, increased infection risk"
Varicose Veins,Diosmin-Hesperidin,500mg,Take with food,Twice daily,"Mild digestive disorders, skin reactions"
Varicose Veins,Horse Chestnut Extract,300mg,Take with food or water,Twice daily,"Upset stomach, itching, nausea"
Varicose Veins,Compression stockings,Not applicable,Put on before getting out of bed in morning,Wear daily during waking hours,"Skin irritation, discomfort"
